f4564083,2026-08-27T01:17:33,4a,axis3 dropout,waveform+rr,all,False,16,tanh,softmax,he,0.0,0.8,False,gd,0.1,none,0.01,64,30,none,1,0.040433,0.987702,0.903154,0.6483,0.763002,0.287684,0.8676|0.0|0.2612|0.022,0.898266,26.51
0d2c1e4d,2026-08-27T01:17:57,4a,axis3 dropout,waveform+rr,all,False,16,tanh,softmax,he,0.0,0.8,False,gd,0.1,none,0.01,64,30,none,2,0.033869,0.990197,0.916874,0.372707,0.906363,0.359627,0.9523|0.0077|0.4511|0.0274,0.898266,24.59
afcce10b,2026-08-27T01:18:23,4a,axis3 dropout,waveform+rr,all,False,16,tanh,softmax,he,0.0,0.8,False,gd,0.1,none,0.01,64,30,none,3,0.031684,0.990616,0.920301,0.352735,0.905887,0.388369,0.951|0.0189|0.5392|0.0444,0.898266,25.97
90f9b813,2026-08-27T01:18:49,4a,axis3 dropout,waveform+rr,all,False,16,tanh,softmax,he,0.0,0.5,False,gd,0.1,none,0.01,64,30,none,1,0.054744,0.982863,0.862899,0.548095,0.864069,0.304971,0.9297|0.0175|0.2727|0.0,0.898266,26.08
ac9b3711,2026-08-27T01:19:15,4a,axis3 dropout,waveform+rr,all,False,16,tanh,softmax,he,0.0,0.5,False,gd,0.1,none,0.01,64,30,none,2,0.05542,0.983035,0.866938,0.596056,0.853972,0.311973,0.9245|0.018|0.2499|0.0556,0.898266,25.84
e02e5939,2026-08-27T01:19:41,4a,axis3 dropout,waveform+rr,all,False,16,tanh,softmax,he,0.0,0.5,False,gd,0.1,none,0.01,64,30,none,3,0.051842,0.982739,0.850362,0.526393,0.861212,0.306507,0.9278|0.0179|0.2803|0.0,0.898266,25.92
3f8366d1,2026-08-27T01:20:06,4a,axis6 lrdecay,waveform+rr,all,False,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.05,64,30,none,1,0.024646,0.992691,0.92971,0.487871,0.871023,0.363245,0.934|0.0|0.4882|0.0308,0.898266,24.84
a49f2af9,2026-08-27T01:20:31,4a,axis6 lrdecay,waveform+rr,all,False,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.05,64,30,none,2,0.023149,0.993728,0.943798,0.392454,0.900076,0.416142,0.9495|0.0155|0.6951|0.0045,0.898266,24.86
27ba68cf,2026-08-27T01:20:56,4a,axis6 lrdecay,waveform+rr,all,False,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.05,64,30,none,3,0.025906,0.992839,0.936098,0.343836,0.913888,0.425359,0.955|0.0348|0.7117|0.0,0.898266,25.04
8289d7ee,2026-08-27T01:21:21,4a,axis6 lrdecay,waveform+rr,all,False,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,inverse,0.05,64,30,none,1,0.026594,0.992468,0.928585,0.432892,0.8735,0.363404,0.9353|0.0|0.4806|0.0377,0.898266,25.17
37ace615,2026-08-27T01:21:46,4a,axis6 lrdecay,waveform+rr,all,False,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,inverse,0.05,64,30,none,2,0.025386,0.993135,0.938259,0.368453,0.901505,0.395435,0.9514|0.016|0.6013|0.013,0.898266,24.95
3675e15b,2026-08-27T01:22:11,4a,axis6 lrdecay,waveform+rr,all,False,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,inverse,0.05,64,30,none,3,0.02822,0.992296,0.92601,0.314966,0.931416,0.429092,0.9635|0.0173|0.7085|0.027,0.898266,25.02
1c791b10,2026-08-27T01:22:34,4a,axis6 lrdecay,waveform+rr,all,False,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,exponential,0.05,64,30,none,1,0.027096,0.992246,0.927627,0.395612,0.880739,0.372875,0.9393|0.009|0.5025|0.0408,0.898266,23.23
600a69e6,2026-08-27T01:22:59,4a,axis6 lrdecay,waveform+rr,all,False,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,exponential,0.05,64,30,none,2,0.026593,0.992666,0.934886,0.347151,0.904744,0.401236,0.953|0.016|0.6225|0.0134,0.898266,24.35
